cluster,Idade,Renda_Mensal,Gasto_Internet,Ocupacao_Advogado,Ocupacao_Autônomo,Ocupacao_Comerciante,Ocupacao_Desempregado,Ocupacao_Engenheiro,Ocupacao_Estudante,Ocupacao_Médico,Ocupacao_Outro,Ocupacao_Professor,Regiao_Centro-Oeste,Regiao_Nordeste,Regiao_Norte,Regiao_Sudeste,Regiao_Sul,Genero_Feminino,Genero_Masculino,Genero_Outro,Plano_Atual_Basico,Plano_Atual_Intermediario,Plano_Atual_Premium,Motivo_Troca_Atendimento Ruim,Motivo_Troca_Cobertura Ruim,Motivo_Troca_Preco Alto
0,0.004674222812120974,0.9651498816704429,0.029582910085369247,3.2094238019330356e-06,6.856496304129668e-06,6.681436824024229e-06,3.5303661821263392e-06,6.1031694038680645e-05,1.4121464728505357e-05,6.243788123760633e-06,1.3275343907995739e-05,3.647072502196632e-06,3.817307755559123e-06,9.759287482007454e-06,8.141142254299229e-05,1.7425928764018946e-05,6.183139868774475e-06,9.445187978144497e-05,2.3346955301478398e-05,7.982513304289178e-07,2.13459733266677e-05,8.974710490481023e-05,7.504008181874354e-06,1.242387758239842e-05,9.249577158275892e-05,1.3677437248194931e-05
1,0.021744784504833768,0.8134160771588733,0.16245770028131126,0.0,0.0,0.0,0.0,0.0004762876109963232,0.0,0.0,0.0,0.0,3.081290376988863e-05,6.820748981878424e-05,0.00011276687796689832,0.0002065487872152736,5.7951552225478386e-05,0.0002745853599655707,0.00020170225103075247,0.0,0.00018349938997596325,0.0001844558215490247,0.00010833239947133521,0.00013800674839914298,0.00020345410018975392,0.00013482676240742623
2,0.012102641736971724,0.9096003085709069,0.07697328463987892,0.0,0.0,0.0,0.0,0.0002647530104484915,0.0,0.0,0.0,0.0,1.2345083248227906e-05,5.286698776414184e-05,5.853404835726975e-05,0.00011207970924939962,2.8927181829452387e-05,0.00013098837154589332,0.0001311835607526102,2.581078149987982e-06,0.00010882912550095217,0.00010944581337037982,4.6478071577159535e-05,7.33073684317816e-05,0.00012821616208002026,6.322947993668965e-05
